kind,date,amount,mode_price,area,year,weekno
だいこん,20051107,201445,735.0,千葉,2005,45
だいこん,20051108,189660,840.0,千葉_各地_青森,2005,45
だいこん,20051110,218166,735.0,千葉_各地_青森,2005,45
だいこん,20051111,182624,682.5,千葉_青森,2005,45
だいこん,20051112,220691,682.5,千葉_青森,2005,45
だいこん,20051114,161140,682.5,千葉_各地,2005,46
だいこん,20051115,200047,525.0,千葉_各地_青森,2005,46
だいこん,20051116,173426,630.0,千葉_青森,2005,46
だいこん,20051117,167262,630.0,千葉,2005,46
だいこん,20051118,171986,525.0,千葉,2005,46
だいこん,20051119,215628,420.0,千葉,2005,46
だいこん,20051121,210565,420.0,千葉,2005,47
だいこん,20051122,208638,420.0,千葉,2005,47
だいこん,20051124,202976,472.5,千葉_各地,2005,47
だいこん,20051125,191197,577.5,千葉_各地,2005,47
だいこん,20051126,184619,472.5,千葉_各地,2005,47
だいこん,20051128,179199,525.0,千葉_各地,2005,48
だいこん,20051129,167339,472.5,千葉_各地,2005,48
だいこん,20051130,166275,525.0,千葉_各地,2005,48
だいこん,20051201,169292,577.5,千葉_神奈川,2005,48
だいこん,20051202,204036,682.5,千葉_神奈川,2005,48
だいこん,20051203,207299,708.75,千葉_神奈川,2005,48
だいこん,20051205,224921,525.0,千葉_神奈川,2005,49
だいこん,20051206,177436,630.0,千葉_神奈川,2005,49
だいこん,20051207,144311,472.5,千葉_神奈川,2005,49
だいこん,20051208,154168,630.0,千葉_神奈川,2005,49
だいこん,20051209,164642,420.0,千葉_各地_神奈川,2005,49
だいこん,20051210,156029,472.5,千葉_各地_神奈川,2005,49
だいこん,20051212,165854,472.5,千葉_神奈川,2005,50
だいこん,20051213,179080,525.0,千葉_神奈川,2005,50
だいこん,20051215,215651,840.0,千葉_各地_神奈川,2005,50
だいこん,20051216,152295,577.5,千葉_神奈川,2005,50
だいこん,20051217,195834,630.0,千葉_神奈川,2005,50
だいこん,20051219,191707,682.5,千葉_神奈川,2005,51
だいこん,20051220,141993,735.0,千葉_神奈川,2005,51
だいこん,20051221,135441,787.5,千葉_神奈川,2005,51
だいこん,20051222,179605,735.0,千葉_各地_神奈川,2005,51
だいこん,20051224,259047,1050.0,千葉_神奈川,2005,51
だいこん,20051225,168201,945.0,千葉_神奈川,2005,51
だいこん,20051226,303955,945.0,千葉_各地_神奈川,2005,52
だいこん,20051227,266590,840.0,千葉_神奈川,2005,52
だいこん,20051228,278387,1102.5,千葉_各地_神奈川,2005,52
だいこん,20051229,163810,1365.0,神奈川,2005,52
だいこん,20060105,516589,1233.75,千葉_神奈川,2006,1
だいこん,20060106,137421,1155.0,千葉_各地_神奈川,2006,1
だいこん,20060107,208917,1155.0,千葉_各地_神奈川,2006,1
だいこん,20060110,237606,1260.0,千葉_各地_神奈川,2006,2
だいこん,20060111,172725,1260.0,千葉_各地_神奈川,2006,2
だいこん,20060112,144229,1260.0,千葉_各地_神奈川,2006,2
だいこん,20060113,156999,1155.0,千葉_各地_神奈川,2006,2
だいこん,20060114,196836,1260.0,千葉_各地_神奈川,2006,2
だいこん,20060116,167826,1155.0,千葉_神奈川,2006,3
だいこん,20060117,146204,1155.0,千葉_各地_神奈川,2006,3
だいこん,20060119,199664,1050.0,千葉_各地_神奈川,2006,3
だいこん,20060120,154620,1050.0,千葉_各地_神奈川,2006,3
だいこん,20060121,200587,1050.0,千葉_各地_神奈川,2006,3
だいこん,20060123,129820,1155.0,千葉_神奈川,2006,4
だいこん,20060124,145088,1155.0,千葉_各地_神奈川,2006,4
だいこん,20060126,195879,1155.0,千葉_各地_神奈川,2006,4
だいこん,20060127,185508,1155.0,千葉_各地_神奈川,2006,4
だいこん,20060128,181379,1155.0,千葉_各地_神奈川,2006,4
だいこん,20060130,184255,1155.0,千葉_各地_神奈川,2006,5
だいこん,20060131,129844,1155.0,千葉_各地_神奈川,2006,5
だいこん,20060201,131562,1417.5,千葉_神奈川,2006,5
だいこん,20060202,134781,1260.0,千葉_各地_神奈川,2006,5
だいこん,20060203,85039,1365.0,千葉_各地_神奈川,2006,5
だいこん,20060204,129504,1365.0,千葉_各地_神奈川,2006,5
だいこん,20060206,206311,1470.0,千葉_各地_神奈川,2006,6
だいこん,20060207,170336,1575.0,千葉_各地_神奈川,2006,6
だいこん,20060208,198385,1575.0,千葉_各地_神奈川,2006,6
だいこん,20060209,167914,1575.0,千葉_各地_神奈川,2006,6
だいこん,20060210,231648,1470.0,千葉_各地_神奈川,2006,6
だいこん,20060213,267760,1260.0,千葉_各地_神奈川,2006,7
だいこん,20060214,186188,1365.0,千葉_各地_神奈川,2006,7
だいこん,20060216,222587,1260.0,千葉_各地_神奈川,2006,7
だいこん,20060217,182401,1260.0,千葉_各地_神奈川,2006,7
だいこん,20060218,140190,1050.0,千葉_各地_神奈川,2006,7
だいこん,20060220,168502,1155.0,千葉_各地_神奈川,2006,8
だいこん,20060221,201738,1155.0,千葉_各地_神奈川,2006,8
だいこん,20060223,179764,1365.0,千葉_各地_神奈川,2006,8
だいこん,20060224,168538,1365.0,千葉_各地_神奈川,2006,8
だいこん,20060225,194303,1260.0,千葉_各地_神奈川,2006,8
だいこん,20060227,190778,1260.0,千葉_各地_神奈川,2006,9
だいこん,20060228,107752,1365.0,千葉_各地_神奈川,2006,9
だいこん,20060301,144711,1365.0,千葉_各地_神奈川,2006,9
だいこん,20060302,206988,1365.0,千葉_各地_神奈川,2006,9
だいこん,20060303,100904,1365.0,千葉_各地_神奈川,2006,9
だいこん,20060304,165282,1365.0,千葉_各地_神奈川,2006,9
だいこん,20060306,200536,1470.0,千葉_各地_神奈川,2006,10
だいこん,20060307,184562,1155.0,千葉_各地_神奈川,2006,10
だいこん,20060309,178981,1155.0,千葉_神奈川,2006,10
だいこん,20060310,149790,1050.0,千葉_神奈川,2006,10
だいこん,20060311,152094,1050.0,千葉_神奈川,2006,10
だいこん,20060313,137686,997.5,千葉_神奈川,2006,11
だいこん,20060314,169396,1050.0,千葉_神奈川,2006,11
だいこん,20060316,200157,1050.0,千葉_神奈川,2006,11
だいこん,20060317,138487,1050.0,千葉_神奈川,2006,11
だいこん,20060318,168338,1050.0,千葉_神奈川,2006,11
だいこん,20060320,209777,1050.0,千葉_神奈川,2006,12
だいこん,20060322,188054,1102.5,千葉_神奈川,2006,12
だいこん,20060323,145106,1050.0,千葉_神奈川,2006,12
だいこん,20060324,157229,1050.0,千葉_神奈川,2006,12
だいこん,20060325,96231,1155.0,千葉_神奈川,2006,12
だいこん,20060327,176784,1050.0,千葉_神奈川,2006,13
だいこん,20060328,157111,1050.0,千葉_神奈川,2006,13
だいこん,20060329,108342,1050.0,千葉_各地_神奈川,2006,13
だいこん,20060330,142169,945.0,千葉_各地_神奈川,2006,13
だいこん,20060331,101912,1050.0,千葉_神奈川,2006,13
だいこん,20060401,156167,1102.5,千葉_神奈川,2006,13
だいこん,20060403,166826,1050.0,千葉_神奈川,2006,14
だいこん,20060404,118798,1050.0,千葉_神奈川,2006,14
だいこん,20060405,130098,1050.0,千葉_神奈川,2006,14
だいこん,20060406,134384,1102.5,千葉_神奈川,2006,14
だいこん,20060407,86299,1102.5,千葉_神奈川,2006,14
